,Company,Earnings Per Share USD,Dividends USD,Book Value Per Share * USD,Return on Assets %,Return on Equity %,Return on Invested Capital %,Debt/Equity,Revenue USD Mil
170,LLY,-1.048717949,0.06122449,0.041538462,-1.036431227,-1.047476859,-1.038219424,1.15,-0.058302796
171,EMR,-0.281345566,0.391304348,-0.117981521,-0.307909605,-0.241351241,-0.314054367,0.047619048,-0.369829081
172,ETR,-0.698013245,0.054216867,-0.062877166,-0.737463127,-0.664482307,-0.67324291,0.612612613,-0.013803544
173,EVHC,,,,,,,,
174,EOG,1.175609756,1.09375,0.036606374,0.853191489,0.789308176,0.263721553,-0.075,-0.219040095
175,EQT,1.520376176,-0.863636364,0.001304348,0.109090909,0.093880389,-0.047426842,-0.214285714,0.82195122
176,EFX,1.569148936,1.4375,0.757658271,0.259314456,0.465404224,0.187122736,-0.035087719,0.716181725
177,EQR,-0.453020134,0.278481013,0.492745836,-0.457089552,-0.653121319,-0.428891377,-0.505617978,0.242332831
178,ESS,4.298387097,0.682692308,1.44521784,2.365384615,1.145061728,0.647058824,-0.473988439,1.865546218
179,EL,0.925287356,2.473684211,0.68018018,-0.004971002,0.025473547,-0.104245283,0.87804878,0.342111237
180,ETFC,2.981481481,,0.352567802,2.181818182,1.785100287,,-0.813953488,0.153021442
181,RE,-8.624161074,1.630208333,0.721354856,-5.813953488,-5.338461538,,0,0.40775458
182,ES,0.400900901,0.727272727,0.554411106,0.103053435,-0.101090188,-0.110749186,-0.101694915,0.73578146
183,EXC,0.058666667,-0.376190476,0.347806005,-0.298924731,-0.241881299,-0.23853211,0.282352941,0.771876982
184,EXPE,-0.290322581,1.071428571,0.398801291,-0.693593315,-0.549767922,-0.549120235,0.438596491,1.916787475
185,EXPD,0.502793296,0.68,0.215835141,0.191229331,0.238349515,0.233497537,,0.125365854
186,ESRX,2.059288538,,5.308724832,-0.126153846,-0.373361925,-0.126857143,-0.70979021,1.169289802
187,EQIX,0.724137931,,0.90802213,-0.190217391,-0.154786151,-0.112016293,0.028368794,1.718108276
188,EXR,5.962962963,4.571428571,0.653809972,2.108490566,2.926553672,0.974736842,0.732142857,2.348484848
189,XOM,-0.450118765,0.654054054,0.305403764,-0.551697531,-0.592809978,-0.627022654,1.166666667,-0.496620962
190,FFIV,1.195945946,,0.377236936,0.067395264,0.522498908,0.522498908,,0.814236111
191,FB,10.7173913,,,0.486392184,0.040593627,0.174196787,,9.954729184
192,FAST,0.661157025,0.969230769,0.477987421,-0.086343612,0.099578705,-0.073591414,,0.586917239
193,FRT,0.74122807,0.455882353,0.388999009,0.166666667,0.151391162,-0.129438717,-0.108571429,0.549728752
194,FDX,1.422319475,2.333333333,0.178921058,0.140540541,1.005,0.225,7.454545455,0.534678404
195,FIS,1.568627451,4.8,0.330670217,0.558208955,0.760989011,0.385435169,0.014285714,0.587989556
196,FITB,1.398305085,1.142857143,0.577567371,0.53125,0.486744433,,0.302631579,-0.025615436
197,FE,-2.755656109,-0.345454545,-0.538954793,-2.87037037,-5.182490752,-1.685873606,3.559322034,-0.137839833
198,FISV,0.762195122,,0.007117438,1.217468806,2.248797251,1.130044843,0.808080808,0.313350242
199,FLT,3.494318182,,3.102040816,-0.086563307,0.068292683,-0.237465181,1.323529412,3.326923077
200,FLIR,-0.442028986,1.5,0.362362362,-0.642857143,-0.572829132,-0.591346154,0.4375,0.165803109
201,FLS,-0.992156863,0.76744186,-0.055594652,-0.99470339,-0.991836735,-0.993448481,3.55,-0.188248337
202,FLR,-0.6,0.68,0.203589744,-0.72459893,-0.656413233,-0.708090615,2.2,-0.165091313
203,FMC,0.564705882,1.2,0.671610169,-0.326254826,-0.251215559,-0.501454898,0.777777778,-0.148016578
204,FTI,-0.958041958,-0.878504673,-0.302951594,-0.896328294,-0.916155419,-0.84298441,-0.333333333,0.705096263
205,F,-0.615384615,,4.369426752,-0.739388795,-0.915737519,-0.782026769,-0.253807107,0.150531322
206,FTV,,,,,,,,
207,FL,3.588785047,0.833333333,0.528244275,1.945945946,1.964747356,2.139322917,-0.285714286,0.538126362
208,FBHS,-14.17391304,,0.229809104,-10.86666667,-6.52173913,-11.93220339,2.222222222,0.587439904
209,BEN,0.048780488,1.424242424,0.712643678,-0.362189688,-0.420363329,-0.400597907,-0.666666667,-0.104761905
210,FCX,-0.738493724,,-0.702469136,-0.672506739,-0.202160494,-0.678653405,5.391304348,-0.214415709
211,GPS,-0.10106383,1.3,-0.015850144,-0.44,-0.075633383,-0.241456835,0.954545455,0.058101473
212,GRMN,0.378277154,0.275,0.22715736,0.184402924,0.165254237,0.170622194,,0.118883653
213,IT,-0.971223022,,3.572115385,-0.993184031,-0.991512865,,2.554216867,1.253914227
214,GD,0.391557496,0.792349727,0.019366658,0.14552737,0.365738308,0.266538215,0.166666667,-0.05214677
215,GE,-1.585365854,0.37704918,-0.254885302,-1.943820225,-1.801437556,-2.033195021,-0.269230769,-0.153047379
216,GIS,0.025925926,0.714285714,-0.286727457,-0.229524772,0.171793194,-0.155405405,1.034482759,0.049663978
217,GM,-1.57860262,,0.354897494,-1.334579439,-1.347089947,-1.160447761,3.571428571,-0.031195933
218,GPC,0.167597765,0.5,0.244732577,-0.417670683,-0.078934386,-0.349809886,3.166666667,0.309013564
219,GILD,0.983050847,,3.677339901,-0.625450799,-0.471117105,-0.59795501,0.336283186,2.113536076
220,GPN,1.315384615,0,,-0.536082474,-0.396871945,-0.518847007,4.217391304,1.137096774
221,GS,0.997782705,1.071428571,0.451844337,0.518518519,0.383561644,,0.099041534,0.025059873
222,GT,0.087301587,,3.982843137,0.067357513,-0.894282932,-0.459816887,-0.942797712,-0.324592612
223,HAL,-1.172077922,1,-0.212527964,-1.131559497,-1.216687422,-1.12066204,2.378378378,-0.169519513
224,HBI,-0.746268657,,0.78125,-0.868035191,-0.848915831,-0.873156342,1.033962264,0.395514341
225,HOG,0.184313725,2.106382979,-0.020390071,-0.162679426,0.07027027,-0.206185567,0.566037736,0.063064759
226,HRS,-0.034782609,1.12,0.238434164,-0.535250464,-0.262863981,-0.4297164,0.546666667,-0.004219409
227,HAS,0.106382979,0.930434783,0.463687151,-0.184631804,-0.154663518,-0.198662207,-0.060606061,0.215585628
228,HCA,0.197183099,,-0.168669528,-0.351184346,,,,0.341721528
229,HCP,-0.317829457,-0.229166667,-0.455637708,-0.173134328,0.211783439,-0.269645609,0.704545455,0.007536232
230,HP,-1.30075188,10.2,0.281270465,-1.209178228,-1.208537439,-1.192846034,0.714285714,-0.290487421
231,HSIC,0.291457286,,0.388101983,-0.294191919,-0.044795784,-0.238059136,1.133333333,0.460961313
232,HSY,0.335766423,0.847826087,-0.053398058,-0.023480663,0.281497981,-0.113050377,0.09223301,0.235816478
233,HES,-3.618762475,1.5,-0.24765343,-4.485776805,-4.330920372,-3.363961814,0.8125,-0.857900484
234,HPQ,-0.554216867,0.325,-1.13556701,0.464991023,,,,-0.590899446
235,HPE,,,,,,,,
236,HLT,3.75308642,,,5.677419355,1.333087149,2.220430108,-0.640091116,0.040646704
237,HFC,-0.295950156,2.882352941,0.131677019,-0.452054795,-0.538062284,-0.541728213,1.043478261,-0.077007772
238,HOLX,3.474576271,,-0.070535714,2.659259259,4.496415771,1.655737705,0.549019608,0.709893795
239,HD,2.208955224,1.936170213,-0.598797251,1.258495146,7.568807339,1.422047244,10.2173913,0.391164316
240,HON,-0.180076628,1,0.865116279,-0.45112782,-0.530909091,-0.630651341,0.140625,0.109638917
241,HRL,0.804597701,1.615384615,0.787276342,0.11023622,-0.037333333,-0.025553663,-0.444444444,0.161241292
242,HST,-39,4.714285714,-0.002083333,-41.66666667,-36.13043478,1.545098039,-0.348837209,0.077831132
243,HRB,0.458015267,0.466666667,-2.151785714,0.889460154,,,,-0.165934066
244,HUM,0.986997636,1.52,0.699645168,0.10965435,0.259239704,,1.285714286,0.4597904
245,HBAN,0.694915254,2.5,0.540308748,0.147368421,0.10273327,,0.516129032,0.646541842
246,HII,-6.102439024,,0.604395604,-5.796178344,-3.605751391,-19.56701031,-0.652380952,0.131711027
247,IBM,-0.529862175,1.034482759,0.110647182,-0.656272661,-0.562848972,-0.691813804,0.98245614,-0.259802088
248,IDXX,1.115107914,,-1.105263158,-0.033373063,,,,0.615258409
249,INFO,0.724137931,,2.225752508,-0.434362934,-0.510396975,-0.411167513,-0.0625,1.714177979
250,ITW,0.159904535,1.042857143,-0.276794494,-0.128099174,0.786148807,-0.138839019,3.657142857,-0.195254961
251,ILMN,6.935483871,,1.276670574,2.543123543,2.847769029,2.803339518,-0.426666667,1.606060606
252,INCY,0.026845638,,-6.818181818,-0.651382185,,,,15.34042553
253,IR,4,2.953488372,0.063429914,3.13559322,3.09978308,1.82231405,-0.023809524,-0.039507509
254,INTC,-0.167364017,0.384615385,0.640997831,-0.578619616,-0.476979742,-0.583265638,1.533333333,0.162262264
255,ICE,2.065217391,,2.341047503,0.938271605,-0.108796296,-0.17219917,-0.074074074,3.396382818
256,IFF,0.141104294,1.293103448,0.507109005,-0.249452954,-0.29601892,-0.306430446,0.385714286,0.219153515
257,IP,0.693069307,0.917525773,-0.297520661,0.24609375,0.98043151,0.421744325,0.194244604,-0.164822924
258,IPG,0.474747475,2,0.09375,0.14713217,0.198689956,0.167344173,0.074074074,0.123592302
259,INTU,0.86,,-0.292110874,0.898373984,2.311320755,1.93456276,0.684210526,0.344326149
260,ISRG,0.379562044,,1.197610752,-0.406387665,-0.405392621,-0.405392621,,0.780876494
261,IQV,,,,-0.427473583,,,,1.250231054
262,IVZ,0.751592357,1.395833333,0.145903479,0.038147139,0.515151515,0.757847534,-0.024691358,0.260997067
263,IPGP,1.639004149,,3.155858931,-0.254569773,-0.373346241,-0.352358168,-0.5,1.97257384
264,IRM,-0.658415842,1.382978723,-0.335015136,-0.716981132,-0.648725212,-0.457252642,0.140684411,0.275621891
265,JEC,-0.069230769,,0.353644427,-0.361426256,-0.376514445,-0.356850716,,-0.034579079
266,JBHT,1.928909953,0.769230769,2.147887324,0.362139918,-0.063900599,0.235757295,-0.520325203,0.588248288
